shots	tackles	position
4.00 	0.40 	1
5.20 	0.50 	1
2.50 	1.80 	1
3.30 	0.70 	1
2.60 	1.00 	1
2.10 	0.80 	1
2.50 	0.20 	1
2.40 	0.80 	1
2.90 	0.40 	1
1.70 	2.30 	1
2.20 	0.40 	1
2.30 	0.40 	1
1.90 	0.40 	1
1.90 	0.70 	1
1.10 	0.40 	1
2.40 	0.40 	1
2.00 	0.50 	1
2.20 	0.60 	1
2.50 	0.80 	1
2.20 	0.30 	1
0.50 	2.40 	0
0.80 	1.70 	0
0.40 	1.40 	0
0.70 	1.80 	0
0.60 	1.50 	0
0.10 	1.10 	0
0.60 	1.50 	0
0.40 	2.10 	0
0.50 	1.10 	0
0.80 	0.80 	0
0.80 	2.20 	0
0.60 	2.00 	0
0.90 	1.80 	0
0.90 	1.10 	0
0.30 	2.20 	0
0.90 	1.30 	0
0.40 	1.70 	0
0.80 	1.70 	0
0.40 	1.00 	0
0.50 	1.40 	0
