shots	shots on target	pass accuracy	aerial duel success	dribbles won	possession	goals
19.00 	6.00 	0.82 	0.65 	13.00 	0.65 	1.00 
13.00 	10.00 	0.90 	0.69 	4.00 	0.66 	5.00 
25.00 	9.00 	0.91 	0.50 	14.00 	0.72 	5.00 
20.00 	11.00 	0.91 	0.72 	5.00 	0.79 	7.00 
15.00 	10.00 	0.90 	0.68 	17.00 	0.77 	3.00 
9.00 	5.00 	0.87 	0.50 	16.00 	0.58 	3.00 
26.00 	12.00 	0.86 	0.59 	7.00 	0.74 	2.00 
24.00 	8.00 	0.88 	0.53 	13.00 	0.77 	2.00 
20.00 	11.00 	0.81 	0.33 	14.00 	0.53 	4.00 
14.00 	5.00 	0.92 	0.57 	9.00 	0.79 	4.00 
18.00 	7.00 	0.92 	0.55 	16.00 	0.77 	3.00 
21.00 	9.00 	0.91 	0.52 	22.00 	0.81 	3.00 
19.00 	10.00 	0.88 	0.58 	13.00 	0.74 	3.00 
19.00 	11.00 	0.87 	0.39 	18.00 	0.71 	5.00 
13.00 	3.00 	0.92 	0.38 	20.00 	0.71 	1.00 
20.00 	6.00 	0.87 	0.50 	11.00 	0.65 	2.00 
19.00 	12.00 	0.93 	0.42 	16.00 	0.83 	5.00 
15.00 	2.00 	0.88 	0.43 	7.00 	0.79 	0.00 
19.00 	7.00 	0.92 	0.68 	15.00 	0.74 	3.00 
